金额,支付途径,支付日期,标签,详情
0.1,微信,2022/04/26,理财,零钱通收益发放
0.12,微信,2022/04/26,薅羊毛,拼多多
0.15,微信,2022/04/26,薅羊毛,商家转账-来自健康金活动（付款商家：腾讯医疗健康（深圳）有限公司）
0.43,支付宝,2022/04/26,理财,余额宝收益发放
0.09,微信,2022/04/27,理财,零钱通收益发放
0.12,微信,2022/04/27,薅羊毛,拼多多
0.43,支付宝,2022/04/27,理财,余额宝收益发放
0.09,微信,2022/04/28,理财,零钱通收益发放
0.07,微信,2022/04/28,薅羊毛,拼多多
0.43,支付宝,2022/04/28,理财,余额宝收益发放
0.09,微信,2022/04/29,理财,零钱通收益发放
0.05,微信,2022/04/29,薅羊毛,拼多多
0.43,支付宝,2022/04/29,理财,余额宝收益发放
0.09,微信,2022/04/30,理财,零钱通收益发放
0.05,微信,2022/04/30,薅羊毛,拼多多
0.42,支付宝,2022/04/30,理财,余额宝收益发放
0.08,微信,2022/05/01,理财,零钱通收益发放
0.1,微信,2022/05/01,薅羊毛,拼多多
0.42,支付宝,2022/05/01,理财,余额宝收益发放
0.08,微信,2022/05/02,理财,零钱通收益发放
0.15,微信,2022/05/02,薅羊毛,拼多多
0.42,支付宝,2022/05/02,理财,余额宝收益发放
0.08,微信,2022/05/03,理财,零钱通收益发放
0.42,支付宝,2022/05/03,理财,余额宝收益发放
0.08,微信,2022/05/04,理财,零钱通收益发放
0.42,支付宝,2022/05/04,理财,余额宝收益发放
0.08,微信,2022/05/05,理财,零钱通收益发放
0.42,支付宝,2022/05/05,理财,余额宝收益发放
0.09,微信,2022/05/06,理财,零钱通收益发放
0.42,支付宝,2022/05/06,理财,余额宝收益发放
0.08,微信,2022/05/07,理财,零钱通收益发放
0.42,支付宝,2022/05/07,理财,余额宝收益发放
0.08,微信,2022/05/08,理财,零钱通收益发放
0.42,支付宝,2022/05/08,理财,余额宝收益发放
0.08,微信,2022/05/09,理财,零钱通收益发放
0.42,支付宝,2022/05/09,理财,余额宝收益发放
0.08,微信,2022/05/10,理财,零钱通收益发放
0.42,支付宝,2022/05/10,理财,余额宝收益发放
0.08,微信,2022/05/11,理财,零钱通收益发放
0.42,支付宝,2022/05/11,理财,余额宝收益发放
0.08,微信,2022/05/12,理财,零钱通收益发放
0.42,支付宝,2022/05/12,理财,余额宝收益发放
0.08,微信,2022/05/13,理财,零钱通收益发放
0.41,支付宝,2022/05/13,理财,余额宝收益发放
0.08,微信,2022/05/14,理财,零钱通收益发放
0.41,支付宝,2022/05/14,理财,余额宝收益发放
0.08,微信,2022/05/15,理财,零钱通收益发放
0.41,支付宝,2022/05/15,理财,余额宝收益发放
0.08,微信,2022/05/16,理财,零钱通收益发放
0.41,支付宝,2022/05/16,理财,余额宝收益发放
0.08,微信,2022/05/17,理财,零钱通收益发放
0.43,支付宝,2022/05/17,理财,余额宝收益发放
0.08,微信,2022/05/18,理财,零钱通收益发放
0.41,支付宝,2022/05/18,理财,余额宝收益发放
0.08,微信,2022/05/19,理财,零钱通收益发放
0.4,支付宝,2022/05/19,理财,余额宝收益发放
-668.0,微信,2022/05/19,电子,2021年电赛准备器件购买元器件话费（转账给高庆峰）
0.05,微信,2022/05/20,理财,零钱通收益发放
0.4,支付宝,2022/05/20,理财,余额宝收益发放
0.03,微信,2022/05/20,薅羊毛,拼多多
0.04,微信,2022/05/21,薅羊毛,拼多多
1.0,微信,2022/05/21,薅羊毛,快手极速版红包提现
0.4,支付宝,2022/05/21,理财,余额宝收益发放
0.3,微信,2022/05/21,薅羊毛,商家转账-来自王牌飞跃（跳一跳）
-20.0,花呗,2022/05/21,生活,邮寄学生证到大连海事大学（毕业审核需要）（京东）（To 石宇龙）
-21.0,支付宝,2022/05/21,学习,NCRE补办合格证明书缴费（教育部教育考试院）
0.06,微信,2022/05/22,薅羊毛,拼多多
0.4,支付宝,2022/05/22,理财,余额宝收益发放
-0.6,微信,2022/05/22,其他,2022年4月-2022年6月团费
0.14,微信,2022/05/23,薅羊毛,拼多多
0.4,支付宝,2022/05/23,理财,余额宝收益发放
0.01,微信,2022/05/24,薅羊毛,拼多多
0.4,支付宝,2022/05/24,理财,余额宝收益发放
0.16,微信,2022/05/25,理财,零钱通收益发放
0.04,微信,2022/05/25,薅羊毛,拼多多
0.39,支付宝,2022/05/25,理财,余额宝收益发放
0.15,微信,2022/05/26,理财,零钱通收益发放
0.01,微信,2022/05/26,薅羊毛,拼多多
0.39,支付宝,2022/05/26,理财,余额宝收益发放
0.17,微信,2022/05/27,理财,零钱通收益发放
0.01,微信,2022/05/27,薅羊毛,拼多多
0.39,支付宝,2022/05/27,理财,余额宝收益发放
-15.0,花呗,2022/05/27,理发,五界家西：扫收钱码付款-给*兆丰（奶奶老的那一天，骑着妈的电动车去的）
0.15,微信,2022/05/28,理财,零钱通收益发放
0.03,微信,2022/05/28,薅羊毛,拼多多
0.39,支付宝,2022/05/28,理财,余额宝收益发放
-88.0,微信,2022/05/28,生活,邮寄行李（许俊杰帮忙）
0.14,微信,2022/05/29,理财,零钱通收益发放
0.39,支付宝,2022/05/29,理财,余额宝收益发放
0.14,微信,2022/05/30,理财,零钱通收益发放
0.39,支付宝,2022/05/30,理财,余额宝收益发放
-1.15,微信,2022/05/30,其他,大连海事大学毕业审核之图书馆欠款清算
-10.0,中国银行,2022/05/30,话费,翼支付话费充值
5.0,中国银行,2022/05/30,薅羊毛,翼支付话费充值红包
0.15,微信,2022/05/31,理财,零钱通收益发放
0.04,微信,2022/05/31,薅羊毛,拼多多
0.39,支付宝,2022/05/31,理财,余额宝收益发放
0.15,微信,2022/06/01,理财,零钱通收益发放
0.39,支付宝,2022/06/01,理财,余额宝收益发放
0.15,微信,2022/06/02,理财,零钱通收益发放
0.12,微信,2022/06/02,薅羊毛,拼多多
0.39,支付宝,2022/06/02,理财,余额宝收益发放
0.15,微信,2022/06/03,理财,零钱通收益发放
0.18,微信,2022/06/03,薅羊毛,拼多多
0.39,支付宝,2022/06/03,理财,余额宝收益发放
0.14,微信,2022/06/04,理财,零钱通收益发放
0.05,微信,2022/06/04,薅羊毛,拼多多
0.39,支付宝,2022/06/04,理财,余额宝收益发放
-4.2,花呗,2022/06/04,电子,原装耳机入耳式oppo华为p20魅族vivox50小米有线type c通用耳塞麦 官方标配;a1白色经典版 一条（世贤科技）
4.0,花呗,2022/06/04,薅羊毛,淘宝红包抵扣：原装耳机入耳式oppo华为p20魅族vivox50小米有线type c通用耳塞麦 官方标配;a1白色经典版 一条（世贤科技）
0.12,花呗,2022/06/04,薅羊毛,淘金币抵扣：原装耳机入耳式oppo华为p20魅族vivox50小米有线type c通用耳塞麦 官方标配;a1白色经典版 一条（世贤科技）
0.14,微信,2022/06/05,理财,零钱通收益发放
0.06,微信,2022/06/05,薅羊毛,拼多多
0.39,支付宝,2022/06/05,理财,余额宝收益发放
0.14,微信,2022/06/06,理财,零钱通收益发放
0.35,微信,2022/06/06,薅羊毛,拼多多
0.39,支付宝,2022/06/06,理财,余额宝收益发放
0.14,微信,2022/06/07,理财,零钱通收益发放
0.39,支付宝,2022/06/07,理财,余额宝收益发放
0.17,微信,2022/06/08,理财,零钱通收益发放
0.18,微信,2022/06/08,薅羊毛,拼多多
0.38,支付宝,2022/06/08,理财,余额宝收益发放
0.18,微信,2022/06/09,理财,零钱通收益发放
0.13,微信,2022/06/09,薅羊毛,拼多多
0.4,支付宝,2022/06/09,理财,余额宝收益发放
-18.0,微信,2022/06/09,其他,市优秀毕业生证书邮寄（石宇龙 To Me）（顺丰到付）
0.35,微信,2022/06/10,理财,零钱通收益发放
0.09,微信,2022/06/10,薅羊毛,拼多多
0.38,支付宝,2022/06/10,理财,余额宝收益发放
0.14,微信,2022/06/11,理财,零钱通收益发放
0.38,支付宝,2022/06/11,理财,余额宝收益发放
0.14,微信,2022/06/12,理财,零钱通收益发放
0.09,微信,2022/06/12,薅羊毛,拼多多
0.38,支付宝,2022/06/12,理财,余额宝收益发放
0.14,微信,2022/06/13,理财,零钱通收益发放
0.14,微信,2022/06/13,薅羊毛,拼多多
0.38,支付宝,2022/06/13,理财,余额宝收益发放
-19.0,微信,2022/06/13,其他,毕业证书和学位证书的皮（壳）邮寄（毛国超 To Me）（顺丰到付）
0.14,微信,2022/06/14,理财,零钱通收益发放
0.4,支付宝,2022/06/14,理财,余额宝收益发放
0.14,微信,2022/06/15,理财,零钱通收益发放
0.38,支付宝,2022/06/15,理财,余额宝收益发放
0.18,微信,2022/06/16,理财,零钱通收益发放
0.38,支付宝,2022/06/16,理财,余额宝收益发放
0.17,微信,2022/06/17,理财,零钱通收益发放
0.38,支付宝,2022/06/17,理财,余额宝收益发放
0.14,微信,2022/06/18,理财,零钱通收益发放
0.4,支付宝,2022/06/18,理财,余额宝收益发放
0.13,微信,2022/06/19,理财,零钱通收益发放
0.38,支付宝,2022/06/19,理财,余额宝收益发放
-10.0,花呗,2022/06/19,话费,话费
0.06,花呗,2022/06/19,薅羊毛,支付宝充话费红包
0.13,微信,2022/06/20,理财,零钱通收益发放
0.38,支付宝,2022/06/20,理财,余额宝收益发放
2.24,中国银行,2022/06/20,理财,中国银行利息
0.13,微信,2022/06/21,理财,零钱通收益发放
0.37,支付宝,2022/06/21,理财,余额宝收益发放
0.03,邮政储蓄,2022/06/21,理财,邮政储蓄银行利息
0.14,微信,2022/06/22,理财,零钱通收益发放
0.37,支付宝,2022/06/22,理财,余额宝收益发放
0.14,微信,2022/06/23,理财,零钱通收益发放
0.37,支付宝,2022/06/23,理财,余额宝收益发放
-10.0,花呗,2022/06/23,家庭,给妈买电话卡（山东电信自营无忧卡月基本费5元限购一件全国发货 号码归属地随机）
0.14,微信,2022/06/24,理财,零钱通收益发放
0.37,支付宝,2022/06/24,理财,余额宝收益发放
0.14,微信,2022/06/25,理财,零钱通收益发放
0.37,支付宝,2022/06/25,理财,余额宝收益发放
0.14,微信,2022/06/26,理财,零钱通收益发放
0.37,支付宝,2022/06/26,理财,余额宝收益发放
-10.0,花呗,2022/06/26,家庭,给妈妈充话费
0.2,花呗,2022/06/26,薅羊毛,支付宝充话费红包
0.14,微信,2022/06/27,理财,零钱通收益发放
0.37,支付宝,2022/06/27,理财,余额宝收益发放
0.15,微信,2022/06/28,理财,零钱通收益发放
0.38,支付宝,2022/06/28,理财,余额宝收益发放
0.15,微信,2022/06/29,理财,零钱通收益发放
0.38,支付宝,2022/06/29,理财,余额宝收益发放
0.16,微信,2022/06/30,理财,零钱通收益发放
0.38,支付宝,2022/06/30,理财,余额宝收益发放
0.17,微信,2022/07/01,理财,零钱通收益发放
0.1,微信,2022/07/01,薅羊毛,拼多多
0.34,支付宝,2022/07/01,理财,余额宝收益发放
0.16,微信,2022/07/02,理财,零钱通收益发放
0.38,支付宝,2022/07/02,理财,余额宝收益发放
0.16,微信,2022/07/03,理财,零钱通收益发放
0.09,微信,2022/07/03,薅羊毛,拼多多
0.38,支付宝,2022/07/03,理财,余额宝收益发放
177.0,支付宝,2022/07/03,瞎搞,QQ上有一个人（池江：3344196521）加好友，拉我进群（满面春风），说做抖音点赞任务可以赚钱，我就试了几个，下载了APP华晨媒体，后来又说银行卡转钱68，今天参加了一次，绑定了中国银行银行卡，返回了103，白薅了这些羊毛，类似这种：https://zhuanlan.zhihu.com/p/386091460 【联单任务工资安排如下 1 连续做满1.2.3单工资8元 2 连续做满4.5.6单工资14元 3 连续做满7.8.9单工资18元 4 连续做满10.11.12单工资23元 5 连续做满13.14.15单工资28元 6 连续做满16.17.18单工资38元 注意：(必须连续完任务，中途不可断）中断联系接待员补单，遵守补单规则】
1.25,QQ,2022/07/03,瞎搞,QQ上有一个人（池江：3344196521）加好友，拉我进群（满面春风），群里发的红包
0.16,微信,2022/07/04,理财,零钱通收益发放
0.18,微信,2022/07/04,薅羊毛,拼多多
0.38,支付宝,2022/07/04,理财,余额宝收益发放
45.0,支付宝,2022/07/04,瞎搞,接着昨天的：QQ上有一个人（池江：3344196521）加好友，拉我进群（满面春风），说做抖音点赞任务可以赚钱，我就试了几个，下载了APP华晨媒体，后来又说银行卡转钱68，今天参加了一次，绑定了中国银行银行卡，返回了103，白薅了这些羊毛，类似这种：https://zhuanlan.zhihu.com/p/386091460 【联单任务工资安排如下 1 连续做满1.2.3单工资8元 2 连续做满4.5.6单工资14元 3 连续做满7.8.9单工资18元 4 连续做满10.11.12单工资23元 5 连续做满13.14.15单工资28元 6 连续做满16.17.18单工资38元 注意：(必须连续完任务，中途不可断）中断联系接待员补单，遵守补单规则】
0.19,微信,2022/07/05,理财,零钱通收益发放
0.38,支付宝,2022/07/05,理财,余额宝收益发放
0.18,微信,2022/07/06,理财,零钱通收益发放
0.38,支付宝,2022/07/06,理财,余额宝收益发放
0.17,微信,2022/07/07,理财,零钱通收益发放
0.39,支付宝,2022/07/07,理财,余额宝收益发放
0.17,微信,2022/07/08,理财,零钱通收益发放
0.39,支付宝,2022/07/08,理财,余额宝收益发放
0.17,微信,2022/07/09,理财,零钱通收益发放
0.39,支付宝,2022/07/09,理财,余额宝收益发放
0.17,微信,2022/07/10,理财,零钱通收益发放
0.39,支付宝,2022/07/10,理财,余额宝收益发放
177.4,支付宝,2022/07/10,瞎搞,又一个：QQ上有一个人（璃玥：1724245603）加好友，拉我进群（曲终人散114），说做抖音点赞任务可以赚钱，我就试了几个，下载了APP，绑定了中国银行银行卡，白薅了这些羊毛，类似这种：https://zhuanlan.zhihu.com/p/386091460
0.94,QQ,2022/07/10,瞎搞,QQ上有一个人（璃玥：1724245603）加好友，拉我进群（曲终人散114），群里发的红包
0.17,微信,2022/07/11,理财,零钱通收益发放
0.39,支付宝,2022/07/11,理财,余额宝收益发放
0.18,微信,2022/07/12,理财,零钱通收益发放
0.17,微信,2022/07/12,薅羊毛,拼多多
0.39,支付宝,2022/07/12,理财,余额宝收益发放
0.16,微信,2022/07/13,理财,零钱通收益发放
0.39,支付宝,2022/07/13,理财,余额宝收益发放
0.16,微信,2022/07/14,理财,零钱通收益发放
0.18,微信,2022/07/14,薅羊毛,拼多多
0.39,支付宝,2022/07/14,理财,余额宝收益发放
0.16,微信,2022/07/15,理财,零钱通收益发放
0.18,微信,2022/07/15,薅羊毛,拼多多
0.39,支付宝,2022/07/15,理财,余额宝收益发放
-10.0,中国银行,2022/07/15,话费,翼支付话费充值
0.16,中国银行,2022/07/15,薅羊毛,翼支付话费充值红包
0.16,微信,2022/07/16,理财,零钱通收益发放
0.16,微信,2022/07/16,薅羊毛,拼多多
0.39,支付宝,2022/07/16,理财,余额宝收益发放
0.16,微信,2022/07/17,理财,零钱通收益发放
0.16,微信,2022/07/17,薅羊毛,拼多多
0.39,支付宝,2022/07/17,理财,余额宝收益发放
0.16,微信,2022/07/18,理财,零钱通收益发放
0.39,支付宝,2022/07/18,理财,余额宝收益发放
0.16,微信,2022/07/19,理财,零钱通收益发放
0.14,微信,2022/07/19,薅羊毛,拼多多
0.38,支付宝,2022/07/19,理财,余额宝收益发放
-13.8,花呗,2022/07/19,家庭,黄春娇的书：初中基础知识天天背化学中考复习资料口袋书
0.16,微信,2022/07/20,理财,零钱通收益发放
0.14,微信,2022/07/20,薅羊毛,拼多多
0.38,支付宝,2022/07/20,理财,余额宝收益发放
0.16,微信,2022/07/21,理财,零钱通收益发放
0.14,微信,2022/07/21,薅羊毛,拼多多
0.38,支付宝,2022/07/21,理财,余额宝收益发放
0.16,微信,2022/07/22,理财,零钱通收益发放
0.38,支付宝,2022/07/22,理财,余额宝收益发放
-10.0,花呗,2022/07/22,家庭,中国移动充值
0.16,微信,2022/07/23,理财,零钱通收益发放
0.14,微信,2022/07/23,薅羊毛,拼多多
0.38,支付宝,2022/07/23,理财,余额宝收益发放
-0.9,支付宝,2022/07/23,生活,强人指甲刀不锈钢套装 强人大号平口【2个】送耳勺（原价4.9）
0.15,微信,2022/07/24,理财,零钱通收益发放
0.38,支付宝,2022/07/24,理财,余额宝收益发放
-0.05,花呗,2022/07/24,生活,挖球器挖水果球勺子套装多功能火龙果西瓜挖球勺拼盘工具雕花神器 玫红色（原价2.9）
0.15,微信,2022/07/25,理财,零钱通收益发放
-6.0,微信,2022/07/25,交通,去郓城贷款（来回车费）
-2.0,微信,2022/07/25,交通,在郓城从交通枢纽->西关小学（来回车费）（贷款车费）
-2.0,微信,2022/07/25,交通,在郓城从交通枢纽->汽车站附近（来回车费）
-13.0,微信,2022/07/25,吃饭,郓城马蕊拉面馆（支付时间：2022年7月25日 12:42:13）
0.38,支付宝,2022/07/25,理财,余额宝收益发放
-0.33,花呗,2022/07/25,生活,物语本色3包卫生纸实惠装 3包（原价3.1）
-18.7,支付宝,2022/07/25,电子,京东买的：英菲克（INPHIC）PW1h 有线鼠标 游戏鼠标 轻音鼠标 宏定义 家用笔记本电脑台式USB通用 黑色
0.15,微信,2022/07/26,理财,零钱通收益发放
0.07,微信,2022/07/26,薅羊毛,拼多多
0.38,支付宝,2022/07/26,理财,余额宝收益发放
-3.66,支付宝,2022/07/26,电子,USB接口分线器笔记本电脑U盘鼠标键盘打印机HUB扩展器多口集线器 独立开关USB【黑色--4口】（原价6.86）
0.16,微信,2022/07/27,理财,零钱通收益发放
0.38,支付宝,2022/07/27,理财,余额宝收益发放
-1.0,支付宝,2022/07/27,电子,onedrive扩容15g自己账户微软 自己账户永久扩容至15G（原价3）
0.16,微信,2022/07/28,理财,零钱通收益发放
0.12,微信,2022/07/28,薅羊毛,拼多多
0.38,支付宝,2022/07/28,理财,余额宝收益发放
0.16,微信,2022/07/29,理财,零钱通收益发放
0.61,微信,2022/07/29,瞎搞,微信免费领购物券群里发的红包（真的成功了，两个号领的券买了）
0.4,支付宝,2022/07/29,理财,余额宝收益发放
0.17,微信,2022/07/30,理财,零钱通收益发放
0.38,支付宝,2022/07/30,理财,余额宝收益发放
-10.0,花呗,2022/07/30,家庭,给妈充话费（134****9901）
2.9,花呗,2022/07/30,薅羊毛,支付宝红包
-11.99,中国银行,2022/07/30,话费,翼支付话费充值
1.99,中国银行,2022/07/30,薅羊毛,翼支付话费充值红包
0.16,微信,2022/07/31,理财,零钱通收益发放
4.12,微信,2022/07/31,薅羊毛,在淘宝买的挖耳勺送快递的给整丢了，这是赔付的钱减去实际用的钱0.08（实际只用了0.08元，其他的都是红包顶替的）
0.13,微信,2022/07/31,薅羊毛,拼多多
0.38,支付宝,2022/07/31,理财,余额宝收益发放
0.09,微信,2023/02/08,理财,零钱通收益发放
0.19,支付宝,2023/02/08,理财,余额宝收益发放
0.11,微信,2023/02/08,薅羊毛,拼多多
0.12,支付宝,2023/02/08,薅羊毛,淘宝
-10.0,校园卡,2023/02/08,吃饭,西一一楼风味铁板饭
-12.1,校园卡,2023/02/08,吃饭,西一一楼风味套餐
-4.0,花呗,2023/02/08,饮料,果粒橙
0.1,微信,2023/02/09,理财,零钱通收益发放
0.18,支付宝,2023/02/09,理财,余额宝收益发放
0.1,微信,2023/02/09,薅羊毛,拼多多
0.1,支付宝,2023/02/09,薅羊毛,淘宝
-11.0,校园卡,2023/02/09,吃饭,西一一楼风味铁板饭
-12.9,校园卡,2023/02/09,吃饭,西一一楼风味套餐
0.1,微信,2023/02/10,理财,零钱通收益发放
0.18,支付宝,2023/02/10,理财,余额宝收益发放
0.13,微信,2023/02/10,薅羊毛,拼多多
0.1,支付宝,2023/02/10,薅羊毛,淘宝
-9.6,校园卡,2023/02/10,吃饭,西一二楼风味江浙风味
-11.3,校园卡,2023/02/10,吃饭,校园卡 西一一楼风味铁板饭
-4.0,花呗,2023/02/10,饮料,美汁源果粒奶优
-22.0,花呗,2023/02/10,生活,热水卡充值（洗澡）（原本30，隋文奇用了8元，已转到微信）
0.1,微信,2023/02/11,理财,零钱通收益发放
0.19,支付宝,2023/02/11,理财,余额宝收益发放
0.09,微信,2023/02/11,薅羊毛,拼多多
0.12,支付宝,2023/02/11,薅羊毛,淘宝
-9.0,校园卡,2023/02/11,吃饭,校园卡 西一一楼风味铁板饭
-3.0,校园卡,2023/02/11,饮料,西一一楼风味水吧
-15.6,微信,2023/02/11,吃饭,你好同学外卖：上吉铺黄焖鸡米饭（华科店）
2.0,微信,2023/02/05,吃饭,大师粥铺（2月12返现的）
0.1,微信,2023/02/12,理财,零钱通收益发放
0.19,支付宝,2023/02/12,理财,余额宝收益发放
0.12,微信,2023/02/12,薅羊毛,拼多多
0.1,支付宝,2023/02/12,薅羊毛,淘宝
-12.0,微信,2023/02/12,吃饭,同学你好外卖券3张
-13.8,微信,2023/02/12,吃饭,广东烧鹅饭&烧卤饭
-15.0,校园卡,2023/02/12,吃饭,百景一楼老广味道
-4.0,花呗,2023/02/12,饮料,果粒橙
0.12,花呗,2023/02/12,薅羊毛,支付宝红包
0.1,微信,2023/02/13,理财,零钱通收益发放
0.19,支付宝,2023/02/13,理财,余额宝收益发放
0.1,微信,2023/02/13,薅羊毛,拼多多
0.1,支付宝,2023/02/13,薅羊毛,淘宝
-4.0,花呗,2023/02/13,饮料,果粒橙
-6.0,支付宝,2023/02/13,吃饭,美团外卖：碗农
2.0,支付宝,2023/02/13,薅羊毛,美团外卖准时宝，未及时送到，补贴2元，现存在美团钱包
-11.9,校园卡,2023/02/13,吃饭,百惠园快餐
0.1,微信,2023/02/14,理财,零钱通收益发放
0.19,支付宝,2023/02/14,理财,余额宝收益发放
-11.9,校园卡,2023/02/14,吃饭,百惠园快餐
-10.5,校园卡,2023/02/14,吃饭,西二一楼
0.1,微信,2023/02/15,理财,零钱通收益发放
0.19,支付宝,2023/02/15,理财,余额宝收益发放
0.09,微信,2023/02/15,薅羊毛,拼多多
-1.6,微信,2023/02/15,学习,打印课程报告（电力电子在电力系统中的应用、电力电子装置及系统的电磁兼容）
-6.7,支付宝,2023/02/15,吃饭,美团外卖：碗农
-2.1,花呗,2023/02/15,洗衣,洗衣：华中科技大学西九舍-西九舍2层东1号机
-4.0,花呗,2023/02/15,饮料,果粒奶优
-9.0,校园卡,2023/02/15,吃饭,校园卡 西一一楼风味铁板饭
0.09,微信,2023/02/16,理财,零钱通收益发放
0.19,支付宝,2023/02/16,理财,余额宝收益发放
-11.6,校园卡,2023/02/16,吃饭,百惠园快餐
-10.1,校园卡,2023/02/16,吃饭,西二一楼
-4.0,花呗,2023/02/16,饮料,果粒橙
0.09,微信,2023/02/17,理财,零钱通收益发放
0.19,支付宝,2023/02/17,理财,余额宝收益发放
0.11,微信,2023/02/17,薅羊毛,拼多多
-10.2,校园卡,2023/02/17,吃饭,西二一楼
-12.0,校园卡,2023/02/17,吃饭,西一二楼风味粤式风味
